41,37,33
42,38,35
48,45,42
48,42,37
44,43,42
50,47,44
51,43,35
37,34,30
37,32,28
32,31,30
35,32,28
39,32,26
44,40,35
41,37,33
39,36,33
37,34,30
48,39,30
42,38,32
46,40,33
50,47,44
51,48,46
51,48,46
48,46,44
48,47,46
50,44,39
42,38,35
42,37,32
37,32,28
44,36,28
53,46,39
55,48,41
57,50,44
51,45,39
55,50,46
53,47,41
48,42,37
50,41,32
51,46,41
48,42,33
53,44,35
51,46,42
48,45,42
44,40,37
42,38,33
51,45,39
53,50,48
53,45,37
46,39,32
46,40,35
44,40,35
53,47,41
55,53,51
57,55,53
57,50,42
44,37,30
41,36,32
42,38,33
48,44,39
41,37,33
41,37,33
37,34,30
62,58,55
59,54,50
59,52,46
57,52,46
60,55,48
57,50,44
60,54,48
59,54,50
59,55,51
60,55,50
60,56,51
60,54,48
68,59,50
66,60,55
64,58,51
69,61,53
57,52,48
57,52,48
60,58,55
55,52,50
57,54,51
55,50,46
59,54,48
64,60,55
62,55,46
57,50,44
55,48,42
59,50,42
57,49,41
50,42,35
53,47,41
66,57,48
69,58,48
62,56,50
69,62,55
66,60,55
62,56,50
64,57,50
60,56,51
60,55,50
59,52,46
62,56,50
62,55,48
60,54,48
60,52,44
57,50,44
55,50,46
60,54,48
59,54,50
57,50,44
62,53,44
60,56,51
62,53,44
64,58,51
69,60,50
62,60,55
66,60,53
66,60,55
66,60,53
62,56,50
60,54,48
